ind_id	tissue	score	n_genes_with_expr	contrast	tissue_shuffled
C0014175	Lung	3.8647992776020716	632	0.8590234996242847	Artery - Coronary
C0019069	Lung	4.153350380881018	82	1.2018027209492566	Pancreas
C0042974	Nerve - Tibial	3.0233063558577467	44	0.5482476582195295	Liver
C0270327	Nerve - Tibial	2.1173583207523343	4	0.9293166377099258	Cervix - Ectocervix
C0003873	Lung	3.993562963983929	1604	0.9167577049597972	Cervix - Ectocervix
C0013238	Lung	3.881224534207505	31	1.445763723214141	Small Intestine - Terminal Ileum
C0022575	Skin - Not Sun Exposed (Suprapubic)	3.1033216789728453	11	1.1495673103716026	Artery - Coronary
C0001206	Pituitary	3.6491439189308643	57	0.8145441263299467	Minor Salivary Gland
C0024586	Small Intestine - Terminal Ileum	4.616175946199639	12	1.2365076588129735	Brain - Cerebellar Hemisphere
C0002892	Stomach	3.7048003681601926	7	1.3642765931665668	Artery - Tibial
C0162316	Liver	4.533704957669019	36	1.2078819342629439	Esophagus - Mucosa
C1510471	Small Intestine - Terminal Ileum	4.480932568373831	5	1.0335638853531544	Vagina
C0042847	Spleen	4.240653792080875	15	0.9536518268546565	Nerve - Tibial
C0917801	Brain - Cerebellar Hemisphere	2.2269522081711215	23	0.5462581673950293	Pancreas
C0020621	Pituitary	3.4575271880437874	10	1.1027796402985008	Muscle - Skeletal
C0036992	Pituitary	3.661302790940492	8	1.7523636492020185	Pituitary
C0392164	Lung	3.942622985257493	29	1.4341470092033006	Esophagus - Gastroesophageal Junction
C0017612	Lung	4.4937520826117	90	1.0365698336757045	Bladder
C0041327	Lung	3.9026114333636484	190	1.175528819900475	Skin - Sun Exposed (Lower leg)
C0406317	Lung	4.337473056489317	15	1.418626933057035	Cervix - Endocervix
C0020598	Pituitary	3.352131766291812	6	2.233731670879803	Esophagus - Gastroesophageal Junction
C0085682	Liver	1.605206902081142	4	1.2924647905779056	Breast - Mammary Tissue
C0035086	Lung	4.1342995790638035	4	2.3501235804975735	Brain - Caudate (basal ganglia)
